,Field ID,Unnamed: 0,Unique Name,Question Stem,Data type,Full Answer,Select one/Toggle multiple/Enter integer answer,Category
2,699.0,Length.of.time.at.current.address...Instance.0,D5B,How many years have you lived at your current address?,Numeric,,Enter integer answer,Sociodemographics
4,904.0,Number.of.days.week.of.vigorous.physical.activity.10..minutes...Instance.0,WP3,"In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity?
(These are activities that make you sweat
or breathe hard such as fast cycling, aerobics, heavy lifting)",Numeric,,Enter integer answer,Lifestyle and environment
5,1090.0,Time.spent.driving...Instance.0,WP7,"In a typical DAY, how many hours do you spend driving?",Numeric,,Enter integer answer,Lifestyle and environment
7,1070.0,Time.spent.watching.television..TV....Instance.0,WP5,"In a typical DAY, how many hours do you spend watching TV?
(Put 0 if you do not spend any time doing it)",Numeric,,Enter integer answer,Lifestyle and environment
9,1289.0,Cooked.vegetable.intake...Instance.0,DT1,"On average how many heaped tablespoons of COOKED vegetables would you eat per DAY?
(Do not include potatoes; put '0' if you do not eat any)",Numeric,,Enter integer answer,Lifestyle and environment
10,1299.0,Salad...raw.vegetable.intake...Instance.0,DT2,"On average how many heaped tablespoons of SALAD or RAW vegetables would you eat per DAY?(Include lettuce, tomato in sandwiches; put '0' if you do not eat any)",Numeric,,Enter integer answer,Lifestyle and environment
11,1309.0,Fresh.fruit.intake...Instance.0,DT3,"About how many pieces of FRESH fruit would you eat per DAY?
(Count one apple, one banana, 10 grapes etc as one piece; put '0' if you do not eat any)",Numeric,,Enter integer answer,Lifestyle and environment
12,1319.0,Dried.fruit.intake...Instance.0,DT2A,"About how many pieces of DRIED fruit would you eat per DAY?
(Count one prune, one dried apricot, 10 raisins as one piece; put '0' if you do not eat any)",Numeric,,Enter integer answer,Lifestyle and environment
14,1438.0,Bread.intake...Instance.0,DT10B,How many slices of bread do you eat each WEEK?,Numeric,,Enter integer answer,Lifestyle and environment
15,1458.0,Cereal.intake...Instance.0,DT11A1,How many bowls of cereal do you eat a WEEK?,Numeric,,Enter integer answer,Lifestyle and environment
16,1488.0,Tea.intake...Instance.0,DT12,How many cups of tea do you drink each DAY?(Include black and green tea),Numeric,,Enter integer answer,Lifestyle and environment
17,1498.0,Coffee.intake...Instance.0,DT13,"How many cups of coffee do you drink each DAY?
(Include decaffeinated coffee)",Numeric,,Enter integer answer,Lifestyle and environment
18,1528.0,Water.intake...Instance.0,DT14,How many glasses of water do you drink each DAY?,Numeric,,Enter integer answer,Lifestyle and environment
19,1050.0,Time.spend.outdoors.in.summer...Instance.0,WP12A,"In a typical DAY in summer, how many hours do you spend outdoors?",Numeric,,Enter integer answer,Lifestyle and environment
20,1060.0,Time.spent.outdoors.in.winter...Instance.0,WP12B,"In a typical DAY in winter, how many hours do you spend outdoors?",Numeric,,Enter integer answer,Lifestyle and environment
22,2277.0,Frequency.of.solarium.sunlamp.use...Instance.0,Y6AC,How many times a year would you use a solarium or sunlamp?,Numeric,,Enter integer answer,Lifestyle and environment
23,670.0,Type.of.accommodation.lived.in...Instance.0_1,D4,What type of accommodation do you live in?,Logical,1 : A house or bungalow,Select one answer,Sociodemographics
24,670.0,Type.of.accommodation.lived.in...Instance.0_2,D4,What type of accommodation do you live in?,Logical,"2 : A flat, maisonette or apartment",Select one answer,Sociodemographics
25,670.0,Type.of.accommodation.lived.in...Instance.0_3,D4,What type of accommodation do you live in?,Logical,3 : Mobile or temporary structure (i.e. caravan),Select one answer,Sociodemographics
26,670.0,Type.of.accommodation.lived.in...Instance.0_4,D4,What type of accommodation do you live in?,Logical,4 : Sheltered accommodation,Select one answer,Sociodemographics
27,670.0,Type.of.accommodation.lived.in...Instance.0_neg7,D4,What type of accommodation do you live in?,Logical,-7 : None of the above,Select one answer,Sociodemographics
28,680.0,Own.or.rent.accommodation.lived.in...Instance.0_1,D5,Do you own or rent the accommodation that you live in?,Logical,1 : Own outright (by you or someone in your household),Select one answer,Sociodemographics
29,680.0,Own.or.rent.accommodation.lived.in...Instance.0_2,D5,Do you own or rent the accommodation that you live in?,Logical,2 : Own with a mortgage,Select one answer,Sociodemographics
30,680.0,Own.or.rent.accommodation.lived.in...Instance.0_3,D5,Do you own or rent the accommodation that you live in?,Logical,"3 : Rent - from local authority, local council, housing association",Select one answer,Sociodemographics
32,680.0,Own.or.rent.accommodation.lived.in...Instance.0_5,D5,Do you own or rent the accommodation that you live in?,Logical,5 : Pay part rent and part mortgage (shared ownership),Select one answer,Sociodemographics
35,6139.0,Gas.or.solid.fuel.cooking.heating...Instance.0_1,D5A,Do you have any of the following in your home? (You can select more than one answer),Logical,1 : A gas hob or gas cooker,Toggle multiple answer,Sociodemographics
36,6139.0,Gas.or.solid.fuel.cooking.heating...Instance.0_2,D5A,Do you have any of the following in your home? (You can select more than one answer),Logical,2 : A gas fire that you use regularly in winter time,Toggle multiple answer,Sociodemographics
37,6139.0,Gas.or.solid.fuel.cooking.heating...Instance.0_3,D5A,Do you have any of the following in your home? (You can select more than one answer),Logical,3 : An open solid fuel fire that you use regularly in winter time,Toggle multiple answer,Sociodemographics
